accid,retda,retmo,retyr,a1,a2,a3p1,a3p2,a3p3,a4,a5p1,a5p2,a5p3,a5p4,a5p5,a6,a7,a8,a9,a10p1,a10p2,a10p3,a10p4,a10p5,a10p6,a10p7,a10p8,a10p9,a11,a12,a13,a14,a15,b1,xb1,b2,b3,b4,b5,b6p1,b6p2,b6p3,b6p4,b6p5,b6p6,b7,b8,b9own,b10lib,b10alp,b10nat,b10grn,b11reps,xb11reps,b11senat,xb11sena,b12reps,b12senat,b13,b14,b15,b16p1,b16p2,b16p3,b16p4,b16p5,b16p6,b17,b18p1,b18p2,b18p3,b18p4,b19p1,b19p2,b19p3,b19p4,b19p5,b19p6,b19p7,b19p8,b20,b21p1,b21p2,b21p3,b21p4,b21p5,b21p6,b22,b23,b24,b25,b26lib,b26alp,b26nat,b26grn,c1howard,c1rudd,c1vaile,c1brown,c1costel,c1gillar,c2jhint,c2jhcmps,c2jhcmpt,c2jhsen,c2jhlea,c2jhhon,c2jhkno,c2jhins,c2jhtru,c3krint,c3krcmps,c3krcmpt,c3krsen,c3krlea,c3krhon,c3krkno,c3krins,c3krtru,c4,c5,c6,c7,c8,c9,c10,c11p1,c11p2,c11p3,c11p4,c11p5,c12p1,c12p2,c12p3,c12p4,d1tax,d1immig,d1educ,d1envir,d1indrel,d1health,d1defenc,d1global,d1water,d1unemp,d1aborig,d1inter,d1iraq,d1terror,d2tax,d2immig,d2educ,d2envir,d2indrel,d2health,d2defenc,d2global,d2water,d2unemp,d2aborig,d2inter,d2iraq,d2terror,d3p1,d3p2,d4p1,d4p2,d5p1,d5p2,d6hhold,d6cntry,d7hhold,d7cntry,d8hhold,d8cntry,d9hhold,d9cntry,d10,d11,d12,d13,d14p1,d14p2,d14p3,d14p4,d14p5,d14p6,d14p7,d14p8,d15p1,d15p2,d15p3,d15p4,d15p5,d15p6,d16,d17,d18,d19,d20,d21p1,d21p2,d21p3,d21p4,d21p5,e1,e2migeo,e2nudsex,e2abland,e2equop,e2immig,e2abor,e2asia,e2arms,e2terror,e3,e4,e5deathp,e5marij,e5lawbrk,e5pollut,e5pref,e5opp,e5nuclea,e5uraniu,e6p1,e6p2,e6p3,e6p4,e6p5,e6p6,e6p7,e6p8,e6p9,e6p10,e6p11,e7p1,e7p2,e7p3,e7p4,e7p5,e7p6,e7p7,e7p8,e7p9,e7p10,e7p11,e8p1,e8p2,e8p3,e8p4,e8p5,e8p6,e8p7,e8p8,e8p9,e8p10,e8p11,e8p12,e9p1,e9p2,e10p1,e10p2,e11p1,e11p2,e12p1,e12p2,e12p3,e12p4,e12p5,e12p6,f1,f2,f3japan,f3us,f3china,f3vietn,f3malay,f3indon,f4,f5p1,f5p2,f5p3,f5p4,f5p5,f5p6,f5p7,f5p8,f6,f7,f8,f9,f10,f11,f12,f13p1,f13p2,f13p3,f13p4,f14p1,f14p2,f14p3,f14p4,f14p5,f14p6,f14p7,f14p8,f14p9,f14p10,f15,f16,f17,f18,f19,f20,f21p1,f21p2,f21p3,f21p4,f21p5,f21p6,g1,g2,g3,g4,g5you,g5child,g6,xg6,g6pos,g6employ,g6superv,g7,h1,h2,h3own,xh3own,h3mum,xh3mum,h3dad,xh3dad,h4,h5dad,h5mum,h6,xh6,h7,h8,h9,h10,h11,h12p1,h12p2,h12p3,h12p4,h12p5,h12p6,h12p7,h12p8,h13,h14,h15,h16,h17,h18,xh18,h19,h20,h21,h22,xh22,state,elecdiv,pcode,region,statemap
1406,28,12,2007,1,2,2,3,4,1,2,3,4,4,4,2,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,-1,1,18,2,1,1,3,1,2,1,3,2,1,4,1,6,6,3,6,2,1,18,1,18,1,1,1,1,1,0,0,3,0,5,0,1,10,0,7,7,1,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,6,4,2,8,3,8,3,10,3,8,2,8,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,4,4,4,2,-1,3,2,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,3,3,2,3,2,2,2,2,3,2,2,2,2,2,1,8,1,11,1,1,4,4,2,2,3,4,2,3,2,3,2,1,4,2,2,3,3,3,4,4,2,2,2,4,4,1,3,2,1,1,3,3,3,2,2,2,1,2,2,1,2,1,1,3,2,4,2,2,2,2,2,2,4,4,3,2,4,3,2,4,2,4,3,3,4,2,2,3,3,3,2,4,3,2,2,3,4,3,0,0,0,4,0,0,0,0,0,0,0,0,3,2,1,2,1,4,2,3,2,2,2,2,1,1,3,3,2,3,3,2,2,2,2,3,2,2,2,2,2,2,1,2,2,3,2,5,2,4,2,2,4,3,2,3,2,2,2,4,2,2,1,2,4,2,1,1,1,3,3,3,2,1,14,0,7,7,-1,1,35,3514,2,1,1,2,2,49,1,1101,1,1101,1,1101,-1,1,1,2,3,5,2,2,1,4,3,1,4,4,4,4,1,1,1,2,2,6,8,14,1499,1,1,2,1,18,2,215,9,4,2
1407,28,12,2007,1,2,1,-1,-1,1,1,-1,-1,-1,-1,1,1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,4,2,5,1,1,1,2,1,-1,1,-1,1,1,1,4,2,-1,-1,-1,3,2,5,-1,-1,-1,2,1,-1,2,0,0,0,4,0,0,2,-1,1,-1,-1,1,0,0,0,0,0,0,0,-1,0,2,0,0,0,0,2,2,5,1,-1,10,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,1,-1,-1,1,5,5,3,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,3,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,1,2,2,4,5,5,3,3,3,3,2,2,1,4,3,1,-1,1,2,4,-1,-1,-1,5,1,4,2,-1,4,5,1,1,3,1,3,-1,1,2,1,1,-1,3,5,5,5,-1,1,4,4,3,3,2,1,5,3,1,2,2,1,1,4,-1,-1,1,3,1,2,3,1,3,5,4,2,5,5,-1,3,3,-1,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,2,-1,4,-1,1,2,2,5,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,5,5,5,2,1,3,2,4,2,1,3,4,4,4,3,2,1,2,5,5,2,1,1,1,2,5,2,2,2,3,1,1,1,1,3,3,3,3,3,3,18,-1,1,1,1,-1,83,8393,4,-1,1,2,-1,-1,11,3206,11,3206,11,3206,1971,-1,-1,4,5,-1,2,1,7,-1,4,4,4,4,4,4,4,4,-1,3,5,8,-1,-1,-1,-1,-1,-1,-1,-1,2,235,9,2,2
1408,28,12,2007,3,3,4,4,4,3,3,4,4,4,4,1,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,2,1,4,1,18,3,1,1,2,1,4,1,4,4,1,3,1,5,10,0,0,0,1,18,1,18,-1,-1,1,1,1,0,0,3,0,5,6,1,10,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,1,5,3,10,0,5,0,7,0,5,5,5,0,2,2,2,-1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,5,5,3,3,1,1,2,2,2,1,2,2,2,3,3,3,1,3,1,2,2,1,2,2,1,3,2,1,3,3,2,3,2,2,2,2,3,1,2,3,3,2,3,3,12,3,12,3,1,3,3,3,2,2,5,5,3,3,2,3,3,1,3,3,3,4,2,2,2,2,1,1,2,1,5,1,1,2,3,3,4,3,5,2,1,3,1,4,4,4,3,4,4,3,3,1,1,1,2,4,2,2,4,3,3,3,1,5,2,3,3,1,3,3,2,3,2,4,1,3,2,-1,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,11,0,3,2,3,1,2,3,2,4,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,4,3,3,4,4,3,2,2,2,2,2,3,2,3,2,3,4,4,2,3,4,4,2,4,2,2,2,3,3,1,2,1,3,3,1,3,2,1,16,0,1,5,1,1,83,8312,5,2,2,2,2,69,1,1101,1,1101,1,1101,-1,2,2,9,98,6,2,3,4,4,3,2,4,4,4,1,4,1,5,3,4,18,1,71,7115,2,1,2,6,98,2,219,9,2,2
1409,28,12,2007,2,3,3,3,3,4,3,3,3,3,3,2,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,2,1,-1,3,20,2,2,1,4,1,-1,1,1,1,1,1,3,10,9,0,6,0,1,18,1,18,1,1,2,1,1,0,0,3,0,5,0,1,10,-1,10,-1,1,0,0,0,0,0,0,0,2,1,0,3,0,0,0,1,1,1,3,0,10,0,10,10,0,10,0,-1,0,1,1,1,1,1,1,2,-1,1,4,4,4,4,4,4,4,4,4,5,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,-1,3,4,2,3,5,5,2,2,1,2,3,4,5,4,4,5,5,5,5,5,1,1,1,1,1,1,2,2,1,3,4,1,3,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,3,3,1,1,1,5,5,5,1,1,3,1,1,5,4,1,1,4,4,1,0,0,0,0,0,0,0,0,0,0,11,0,3,-1,1,3,1,3,3,3,3,3,3,3,4,3,1,-1,1,1,1,1,1,4,3,3,5,4,4,-1,5,3,2,1,2,3,1,5,1,3,1,1,5,5,1,1,5,1,1,5,4,1,1,1,4,1,1,1,1,1,1,3,3,1,16,-1,1,1,1,-1,81,8112,-1,3,2,1,1,-1,1,1101,1,1101,1,1101,-1,1,1,2,3,3,1,1,1,1,-1,-1,-1,-1,-1,2,-1,1,3,3,2,6,-1,-1,-1,-1,-1,-1,-1,-1,3,312,9,4,3
1410,28,12,2007,2,3,3,2,4,2,3,4,4,4,4,2,2,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,-1,1,18,2,2,1,2,2,3,2,3,2,2,3,2,9,8,2,6,5,1,18,1,18,-1,-1,2,2,1,0,0,3,0,0,0,1,10,0,0,5,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,6,3,2,7,0,5,5,6,5,5,5,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,1,2,2,2,2,2,2,2,3,3,4,1,1,2,1,1,2,1,1,2,2,3,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,3,6,12,1,-1,3,3,2,2,3,3,2,2,3,2,3,2,4,2,3,2,3,2,2,2,4,2,3,3,2,2,3,2,1,2,4,1,4,2,2,3,4,2,5,1,4,1,1,3,4,4,3,1,1,2,1,1,3,2,4,4,4,2,3,3,1,2,3,3,3,3,3,4,2,3,4,5,2,3,3,2,4,1,1,0,0,0,5,0,7,0,0,0,0,0,1,3,1,2,1,4,2,3,2,2,2,2,2,2,3,3,2,3,3,2,2,2,5,4,3,2,1,2,2,2,1,2,1,2,2,5,2,3,2,2,2,4,2,1,5,4,2,5,2,2,1,3,2,2,1,2,1,3,3,3,3,1,17,4,2,1,1,-1,55,5511,2,2,1,2,1,-1,1,1101,1,1101,1,1101,-1,1,1,2,3,6,2,2,1,4,4,4,4,4,4,4,3,4,1,2,5,14,7,62,6211,2,2,2,1,18,5,509,9,2,5
1411,28,12,2007,3,2,3,-1,-1,3,3,4,4,4,4,2,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,2,2,-1,2,5,3,2,4,1,4,2,3,4,3,1,1,3,6,7,9,5,6,2,5,4,3,3,3,2,2,1,1,0,0,0,0,0,7,8,9,5,7,0,0,0,0,0,0,7,0,2,0,0,0,4,0,0,4,2,3,4,7,9,6,6,5,8,6,5,4,7,3,2,3,3,3,2,3,2,2,2,3,3,3,3,3,3,2,3,3,4,4,2,1,3,3,2,2,1,2,2,-1,-1,-1,2,2,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,3,1,8,14,8,3,2,2,4,4,2,1,4,4,2,2,2,3,2,2,3,1,3,4,5,4,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,1,3,3,2,3,3,4,3,2,3,4,4,4,4,2,5,3,2,2,3,3,3,2,2,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,3,4,1,4,3,3,2,3,2,2,2,2,2,3,2,2,2,3,3,3,2,2,4,3,4,2,2,3,2,2,2,3,3,4,2,2,4,2,3,2,3,3,4,4,2,3,2,2,2,2,2,2,2,1,1,1,1,2,1,2,18,1,6,1,1,-1,72,7219,4,2,1,1,1,78,3,2100,3,2100,3,2100,1989,7,2,2,3,5,1,5,2,3,4,4,4,4,4,3,4,2,3,3,3,7,-1,-1,-1,-1,-1,-1,-1,-1,5,507,9,2,5
1412,28,12,2007,2,1,3,-1,-1,1,4,-1,-1,-1,-1,2,2,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,1,2,4,4,3,2,3,6,2,-1,-1,-1,1,-1,-1,2,3,-1,-1,-1,-1,10,4,3,-1,-1,3,-1,1,-1,-1,1,2,0,0,5,0,5,-1,-1,-1,10,0,0,0,0,0,6,0,0,4,0,0,0,4,0,0,4,4,5,5,-1,-1,-1,10,-1,-1,-1,10,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,5,5,5,2,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,3,11,9,13,4,-1,5,5,3,3,5,5,3,3,3,4,1,3,-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,4,4,1,3,4,1,-1,1,-1,1,5,-1,5,-1,5,1,-1,-1,-1,5,1,1,1,2,1,-1,1,-1,-1,-1,-1,4,-1,-1,3,-1,5,5,-1,-1,5,3,1,2,-1,1,-1,-1,1,-1,-1,1,0,0,3,0,0,0,0,0,0,0,0,0,2,3,2,4,1,4,1,1,-1,-1,1,-1,2,2,1,-1,-1,-1,-1,1,1,4,1,-1,-1,-1,-1,-1,-1,4,2,1,2,1,1,5,1,-1,1,-1,-1,1,-1,1,-1,-1,5,-1,-1,-1,1,1,4,1,1,1,-1,-1,-1,3,-1,-1,14,0,1,7,2,1,-1,-1,-1,-1,-1,2,2,42,1,1101,1,1101,1,1101,-1,7,7,1,1,6,3,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,232,9,1,2
1413,28,12,2007,3,3,2,2,4,2,2,4,4,4,4,1,2,5,4,0,0,0,0,0,6,0,0,0,1,1,1,2,-1,2,5,2,2,5,2,3,2,3,1,3,2,3,2,7,4,8,5,3,2,5,2,5,-1,-1,2,1,1,0,0,0,0,5,0,1,7,10,5,2,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,2,2,3,2,6,9,5,5,7,8,5,5,3,6,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,4,4,2,2,2,2,2,2,2,2,1,4,3,4,1,2,3,1,1,1,2,3,2,1,2,2,1,2,2,4,4,1,1,1,4,4,1,3,4,4,3,1,4,3,12,8,12,2,2,3,4,2,3,3,4,2,2,3,3,3,1,4,2,2,3,3,4,3,3,3,4,2,2,4,2,2,4,1,3,3,2,2,1,2,3,3,4,1,3,3,4,4,3,3,2,2,2,5,5,2,3,4,3,2,2,3,2,3,3,2,2,3,3,2,4,4,3,3,3,2,3,3,3,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,2,1,2,3,2,3,4,1,1,2,2,3,3,3,3,3,3,3,2,2,3,2,3,4,3,3,3,2,2,3,3,3,3,3,2,4,2,2,2,3,3,4,4,3,2,1,2,1,2,4,2,1,1,1,3,1,2,2,1,17,4,3,1,1,9,24,2410,-1,3,2,1,2,83,1,1101,3,2100,1,1101,-1,7,7,2,3,1,2,3,2,4,2,3,4,4,4,3,2,2,2,2,5,10,6,24,2400,1,2,2,1,18,3,301,9,4,3
1414,28,12,2007,1,1,1,3,3,1,3,4,4,4,4,2,1,3,3,1,0,0,0,0,0,0,0,0,4,1,1,2,-1,1,18,2,1,1,4,3,4,1,3,2,4,1,1,6,7,3,8,0,1,18,1,18,-1,-1,1,1,1,0,0,0,0,5,0,1,8,3,8,1,0,0,0,0,0,0,7,0,2,1,0,0,0,0,0,1,1,2,1,7,3,4,1,7,3,4,1,7,4,1,2,1,1,1,2,2,2,2,1,2,1,2,1,4,2,3,4,2,5,5,2,2,3,2,1,2,2,2,2,4,4,4,1,2,1,2,2,2,2,1,2,2,1,1,3,3,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,7,10,6,8,1,1,1,2,2,1,4,4,3,3,2,3,3,2,5,2,4,3,2,2,2,2,1,2,3,4,2,4,2,2,3,3,3,2,1,2,5,3,2,3,3,1,3,3,3,3,3,3,2,2,5,4,2,2,5,4,1,1,4,2,4,3,3,2,3,3,3,3,2,3,2,3,3,4,3,3,3,2,3,3,0,0,0,0,5,0,0,0,0,0,0,13,1,3,2,1,1,3,4,2,2,2,2,2,1,1,3,3,2,3,3,2,2,2,2,4,4,2,4,2,2,2,2,2,1,3,2,3,3,2,4,2,4,2,2,1,2,4,1,-1,3,1,1,3,2,3,2,3,1,2,2,1,1,2,15,-1,6,8,2,2,63,6311,5,2,2,2,2,47,1,1101,1,1101,1,1101,-1,3,3,1,1,3,2,2,3,4,4,2,4,4,4,4,4,1,2,2,5,15,1,13,1399,2,1,1,1,18,3,320,9,3,3
1415,28,12,2007,1,1,1,1,1,1,1,4,4,4,4,1,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,4,3,1,1,1,2,4,1,4,1,4,1,5,1,5,10,5,10,1,4,3,4,3,2,2,2,1,1,0,2,0,4,0,0,5,0,10,0,10,1,0,0,0,0,0,0,0,3,0,2,0,4,0,0,2,2,3,1,5,10,4,10,0,10,3,10,5,10,1,4,1,3,1,4,1,4,4,1,1,1,1,1,1,1,1,1,3,5,5,2,3,3,4,1,1,1,1,1,-1,-1,-1,1,3,3,1,1,1,1,3,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,12,5,2,2,1,4,1,3,2,4,2,1,2,2,-1,4,5,1,3,3,4,3,2,2,2,3,2,3,2,3,2,3,1,1,1,1,5,1,3,1,3,-1,2,3,4,2,4,4,5,2,1,1,5,2,2,1,4,2,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,3,4,3,2,5,2,2,4,2,1,2,3,3,3,3,3,3,3,-1,3,3,3,4,3,2,3,2,4,2,1,-1,2,2,3,3,2,3,2,2,2,3,4,3,5,1,3,2,2,1,3,1,2,2,3,1,1,1,1,1,1,16,3,3,5,3,3,21,2122,5,2,1,2,2,44,1,1101,1,1101,1,1101,-1,1,1,9,98,5,2,1,1,4,1,1,-1,1,4,1,1,1,1,1,5,18,1,11,1112,1,1,2,2,5,1,149,9,1,1
1416,28,12,2007,3,4,4,4,4,4,3,2,4,4,4,1,2,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,2,5,2,1,1,1,1,4,2,3,4,4,5,3,2,9,7,8,8,1,18,1,18,-1,-1,2,2,1,0,0,0,4,5,6,1,6,7,2,0,0,2,3,0,0,0,0,0,4,0,0,0,0,0,6,6,1,5,1,5,5,0,0,8,3,5,5,1,0,2,4,1,3,1,3,2,3,3,4,2,4,3,3,2,3,2,3,5,5,5,3,1,1,3,2,2,2,2,2,2,3,4,2,2,3,1,2,2,2,1,2,1,3,2,2,3,3,1,4,1,4,1,4,4,4,4,4,4,1,2,2,7,3,3,1,2,2,3,2,2,2,3,3,3,3,3,3,2,3,4,2,4,4,3,4,3,3,2,3,1,2,5,3,1,3,3,3,4,3,5,3,4,4,5,3,3,3,3,3,3,4,3,4,1,1,4,4,3,2,4,4,5,5,1,4,4,3,3,2,1,2,1,3,3,5,3,4,2,3,3,5,4,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,3,1,2,3,3,3,2,3,2,3,2,2,3,3,3,1,1,5,2,4,5,3,4,1,1,2,1,2,2,4,4,3,4,2,4,2,3,2,4,4,4,5,1,3,2,3,1,3,3,1,1,3,1,1,1,2,2,1,17,3,6,2,1,1,25,2541,5,3,1,1,2,53,12,5203,12,5203,12,5203,1973,7,7,9,98,6,2,1,2,4,1,1,3,4,2,3,3,1,1,3,5,16,1,56,5612,3,2,1,1,18,5,515,9,1,5
1417,28,12,2007,1,2,1,2,4,2,2,3,4,4,4,2,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,3,1,18,1,1,1,2,1,3,1,3,1,3,4,1,8,10,0,10,0,1,18,1,18,-1,-1,2,1,1,0,0,3,0,0,6,1,10,0,5,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,10,0,5,5,10,5,5,5,8,0,1,2,1,1,1,2,1,2,2,1,1,3,3,3,3,1,2,3,3,5,5,1,2,3,1,2,2,2,1,1,3,3,3,2,1,3,2,2,2,3,2,2,2,3,2,2,2,1,2,4,1,4,2,4,2,1,3,2,2,2,2,2,1,3,4,13,4,1,1,1,1,1,3,4,2,2,3,2,3,3,5,3,3,3,3,3,2,3,3,3,3,3,2,2,3,2,1,1,2,3,3,2,2,3,2,3,3,3,4,2,4,3,3,3,1,1,2,3,3,2,3,2,3,3,1,3,3,3,1,2,3,3,3,3,3,4,3,3,3,3,-1,2,2,3,3,2,0,0,0,0,5,0,0,0,0,0,0,0,1,4,1,2,1,4,4,3,3,3,2,2,1,1,3,3,3,3,3,1,3,2,1,4,3,3,4,3,2,2,1,2,1,2,1,3,2,3,3,2,3,2,4,4,4,4,2,3,2,2,2,2,3,2,1,4,1,2,2,1,3,1,17,3,1,6,3,-1,54,5421,5,2,2,2,2,84,1,1101,1,1101,1,1101,-1,7,7,1,1,5,1,5,2,4,4,2,4,4,2,2,4,1,2,1,5,15,-1,-1,-1,-1,-1,-1,-1,-1,5,513,9,1,5
1418,28,12,2007,2,3,2,2,4,2,2,4,4,4,4,1,1,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,1,2,-1,6,98,-1,2,4,1,3,2,4,3,4,2,3,2,5,5,5,5,5,2,5,2,5,2,2,2,1,3,1,0,0,0,0,0,1,8,8,6,5,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0,2,2,3,4,8,8,5,5,6,9,5,5,3,5,2,2,3,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,3,4,4,2,3,4,2,2,2,2,2,2,2,3,4,2,1,3,2,2,3,3,3,2,1,3,3,1,3,3,3,3,3,1,3,3,3,1,3,3,3,1,3,3,12,1,1,8,2,2,3,2,2,2,3,3,2,2,3,2,3,2,4,1,2,3,3,3,3,3,1,3,3,2,3,3,2,2,1,1,3,4,4,2,2,3,3,3,4,3,3,2,2,3,3,2,1,1,2,1,3,2,4,3,4,3,3,4,3,3,2,3,3,3,3,2,4,3,3,3,3,4,2,3,3,3,4,2,0,0,0,0,0,0,0,0,0,0,11,0,3,1,3,2,1,4,4,3,3,2,3,2,2,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,1,1,3,3,4,3,3,2,3,2,3,2,2,4,4,3,4,2,1,2,3,3,2,1,1,3,3,1,3,2,1,17,0,6,1,1,9,70,7000,5,2,2,2,1,80,1,1101,1,1101,1,1101,-1,7,7,1,1,6,2,2,6,3,4,4,4,4,4,4,4,4,5,3,5,13,1,42,4232,2,2,2,6,98,3,314,9,3,3
1419,28,12,2007,2,3,3,2,4,2,2,4,4,4,4,2,1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,2,1,18,2,2,1,4,1,4,1,4,1,2,3,3,5,5,5,5,5,1,18,1,18,-1,-1,1,1,1,0,0,3,0,0,0,1,10,-1,-1,6,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,4,3,9,1,6,4,9,4,4,6,7,5,1,1,1,1,1,1,1,1,1,2,2,2,3,-1,2,2,2,2,4,4,4,2,2,2,2,1,2,1,1,1,4,2,4,1,1,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,4,1,4,1,2,1,1,1,1,1,2,3,2,2,3,1,3,2,5,2,4,3,3,3,2,2,1,1,3,5,3,5,2,2,1,1,3,1,5,1,5,1,1,3,2,2,3,3,2,3,4,3,2,2,1,5,1,1,4,3,5,5,4,2,-1,-1,3,2,4,4,2,2,2,4,3,-1,2,2,2,2,2,2,1,1,0,0,3,0,5,0,0,0,0,0,0,0,2,3,2,3,2,4,2,2,2,2,2,1,2,2,1,3,2,3,3,3,2,2,4,4,4,2,2,2,2,2,2,1,2,3,3,4,2,2,4,2,2,2,2,2,4,4,2,2,2,2,2,3,1,1,1,2,1,1,1,2,2,1,97,-1,1,7,-1,-1,-2,-2,-1,-1,-1,-1,2,28,1,1101,12,913,12,913,-1,2,2,1,1,4,3,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,5,511,9,2,5
1420,28,12,2007,2,2,1,3,4,-1,2,4,4,4,4,2,1,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,1,18,1,1,3,1,1,4,2,2,1,1,4,1,-1,10,-1,-1,-1,1,18,1,18,1,1,1,1,1,0,0,0,4,5,6,1,10,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,2,1,10,5,5,1,10,5,3,3,5,0,1,2,2,1,1,2,1,2,2,2,3,3,4,4,3,3,4,4,3,5,5,2,3,4,1,2,2,2,2,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,3,3,2,1,3,2,3,3,3,3,7,12,9,14,1,1,3,1,2,1,4,4,3,3,2,3,2,1,5,2,3,3,3,3,3,3,2,1,2,3,2,1,4,3,3,3,4,2,3,2,3,2,1,1,2,3,3,1,3,3,3,5,1,2,2,2,2,2,2,3,3,2,3,2,3,2,3,3,3,3,4,3,5,3,3,3,3,4,2,2,2,1,4,2,0,0,3,0,5,0,0,0,0,0,0,0,1,3,1,2,1,4,1,2,1,2,1,1,2,2,3,3,1,3,2,2,2,2,2,4,1,1,1,3,3,1,1,2,1,1,1,5,1,3,1,3,5,5,2,1,5,3,3,3,5,1,2,1,4,1,1,1,3,3,3,3,3,3,14,0,1,7,1,1,35,3514,5,2,2,2,2,42,12,2407,12,2407,12,2407,1951,7,7,6,15,6,2,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,-1,5,39,3992,2,1,2,1,18,4,409,9,1,4
